GEOID,latitude,longitude,MetroName_x,2011_Current$_GDP,2012_Current$_GDP,2013_Current$_GDP,2014_Current$_GDP,2015_Current$_GDP,2016_Current$_GDP,2016_Current$_Rank,2011_Real$09_GDP,2012_Real$09_GDP,2013_Real$09_GDP,2014_Real$09_GDP,2015_Real$09_GDP,2016_Real$09_GDP,2012_RealGDP%_Change,2013_RealGDP%_Change,2014_RealGDP%_Change,2015_RealGDP%_Change,2016_RealGDP%_Change,2016Rank,Natural resources and mining,Construction,Durable-goods manufacturing,Nondurable-goods manufacturing,Trade,Transportation and utilities,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,2010_Population_Actual,2010_Population_Estimate,2011_Population_Estimate,2012_Population_Estimate,2013_Population_Estimate,2014_Population_Estimate,2015_Population_Estimate,2016_Population_Estimate,ALand_SQMeters,AWater_SQMeters,ALand_SQMiles,AWater_SQMiles,latitude,longitude                                                                                                 
11500,33.771706,-85.822513,"Anniston-Oxford-Jacksonville, AL","3,865","3,823","3,690","3,729","3,755","3,832",358,"3,732","3,634","3,455","3,407","3,366","3,399",-2.6,-4.9,-1.4,-1.2,1,209,0.05,0.21,0.61,0.19,0.32,0.12,0.11,-0.58,0.05,0.16,0.05,-0.16,-0.13,118572,118468,117736,117208,116475,115837,115285,114611,1569245411,16568577,605.889,6.397,33.771706,-85.822513
11540,44.290603,-88.372326,"Appleton, WI","10,395","10,758","10,801","11,339","12,002","12,434",180,"10,143","10,250","10,083","10,382","10,731","10,943",1,-1.6,3,3.4,2,154,0.18,0.72,-0.76,-0.47,0.48,0.05,(D),0.49,0.44,0.41,-0.08,(D),0.11,225666,225937,227502,228669,229935,231525,233056,234079,2475494072,222455372,955.794,85.891,44.290603,-88.372326
11700,35.595669,-82.681615,"Asheville, NC","14,372","14,710","15,280","16,228","17,302","18,222",133,"14,075","14,052","14,305","14,868","15,405","15,898",-0.2,1.8,3.9,3.6,3.2,67,0.01,0.19,-0.08,0.54,0.55,-0.12,0.25,0.22,0.43,0.72,0.26,0.19,0.04,424858,425461,428403,431888,437020,441258,446138,452319,5265357913,21779731,2032.966,8.409,35.595669,-82.681615
12020,33.943984,-83.213897,"Athens-Clarke County, GA","6,967","7,234","7,366","7,686","8,271","8,702",220,"6,723","6,795","6,776","6,928","7,315","7,565",1.1,-0.3,2.3,5.6,3.4,56,-1.29,0.27,-0.04,0.9,0.65,0.25,0.05,0.69,0.68,0.79,0.11,(D),0.1,192541,193450,194634,196370,197793,198787,202822,205290,2654353088,26370977,1024.852,10.182,33.943984,-83.213897
12060,33.693728,-84.399911,"Atlanta-Sandy Springs-Roswell, GA","280,675","291,483","307,873","326,556","344,590","363,768",10,"274,621","278,537","288,509","299,881","308,761","320,171",1.4,3.6,3.9,3,3.7,48,-0.06,0.42,0.05,0.06,0.23,0.53,0.97,0.6,0.49,(D),0.04,0.05,0,5286728,5303929,5373558,5452145,5517230,5605765,5699050,5789700,22485809510,398427699,8681.82,153.834,33.693728,-84.399911
12100,39.469354,-74.633758,"Atlantic City-Hammonton, NJ","12,507","12,653","12,770","12,771","12,567","12,751",177,"12,202","12,071","11,937","11,638","11,170","11,117",-1.1,-1.1,-2.5,-4,-0.5,290,0.09,-0.02,0.03,0.03,-0.08,0.02,-0.16,-0.25,0.26,0.27,-0.25,0.12,-0.53,274549,274757,275017,275604,275784,274715,273035,270991,1439256827,300767732,555.7,116.127,39.469354,-74.633758
12220,32.604064,-85.353048,"Auburn-Opelika, AL","3,975","4,177","4,328","4,607","4,856","5,193",309,"3,882","3,986","4,059","4,226","4,328","4,543",2.7,1.8,4.1,2.4,5,19,0.22,0.75,0.2,0.42,0.67,0.39,-0.02,0.78,0.5,0.62,0.16,0.14,0.15,140247,140804,144123,148289,151411,154277,156767,158991,1573552324,21488937,607.552,8.297,32.604064,-85.353048
12260,33.460371,-81.982833,"Augusta-Richmond County, GA-SC","20,507","21,010","21,158","21,905","22,834","23,398",108,"19,949","20,035","19,753","19,949","20,267","20,404",0.4,-1.4,1,1.6,0.7,233,-0.26,0.02,0.07,0.01,0,0.5,0.04,0.26,-0.13,0.28,0,-0.02,-0.09,564873,566569,570925,576549,579840,583462,590047,594919,9015004609,262744093,3480.713,101.446,33.460371,-81.982833
12420,30.239513,-97.69127,"Austin-Round Rock, TX","96,399","103,513","111,720","120,494","127,583","135,010",27,"93,413","98,992","104,902","111,421","119,914","125,816",6,6,6.2,7.6,4.9,20,-0.55,0.47,-0.09,0.06,1.19,0.14,0.45,1.28,1.33,0.21,0.15,0.09,0.19,1716289,1727656,1780819,1834319,1882856,1941389,1998104,2056405,10933496832,151856267,4221.447,58.632,30.239513,-97.69127
12540,35.346629,-118.729506,"Bakersfield, CA","34,652","36,902","38,035","39,489","36,466","35,162",78,"30,221","32,103","32,439","33,607","33,579","32,983",6.2,1,3.6,-0.1,-1.8,342,-1.32,-0.73,-0.14,-0.07,-0.04,-0.04,-0.11,-0.05,-0.06,0.2,0.1,0.04,0.45,839631,841676,849484,855808,864454,872138,879497,884788,21061723516,79488735,8131.977,30.691,35.346629,-118.729506
12580,39.304361,-76.549501,"Baltimore-Columbia-Towson, MD","158,154","162,776","167,270","173,054","179,416","187,395",19,"154,141","155,582","156,911","158,780","160,687","164,545",0.9,0.9,1.2,1.2,2.4,119,(D),0.13,0.09,-0.03,0.18,0.2,0.18,1,(D),0.04,0.01,0.06,0.15,2710489,2715705,2735170,2755622,2771765,2784254,2793837,2798886,6737902107,1304071479,2601.519,503.505,39.304361,-76.549501
12620,45.409279,-68.666598,"Bangor, ME","5,283","5,422","5,455","5,559","5,775","5,961",277,"5,132","5,153","5,086","5,076","5,147","5,218",0.4,-1.3,-0.2,1.4,1.4,182,-0.13,-0.19,0.1,-0.74,-0.51,1.38,0.03,0.23,0.29,0.91,-0.05,-0.12,0.18,153923,153872,153814,153589,153518,153500,152478,151806,8799074164,413603851,3397.342,159.693,45.409279,-68.666598
12700,41.798819,-70.211083,"Barnstable Town, MA","9,599","10,193","9,970","10,203","10,741","11,276",186,"9,385","9,751","9,355","9,348","9,584","9,837",3.9,-4.1,-0.1,2.5,2.6,95,(D),0.52,0.09,(D),0.15,0.07,0.02,1.1,0.25,0.17,0.2,-0.04,-0.02,215888,215908,215372,214915,214844,214858,214621,214276,1019719638,2361606119,393.716,911.821,41.798819,-70.211083
12940,30.57089,-91.134533,"Baton Rouge, LA","49,471","51,669","48,357","51,030","51,096","51,456",58,"43,993","44,410","41,522","43,004","43,094","43,476",0.9,-6.5,3.6,0.2,0.9,218,-0.03,0.21,-0.02,1.7,0.26,(D),-1.13,(D),(D),-0.16,-0.01,(D),-0.08,802484,804311,808397,813756,819507,825155,829741,835175,10429567733,456494780,4026.879,176.254,30.57089,-91.134533
12980,42.24299,-85.012385,"Battle Creek, MI","5,158","5,350","5,588","5,607","5,864","5,997",275,"5,124","5,166","5,297","5,188","5,224","5,240",0.8,2.5,-2.1,0.7,0.3,252,0.02,-0.59,1.5,-0.73,(D),(D),-0.05,-0.72,0.76,0.28,-0.01,0.05,-0.05,136146,136025,135245,134777,134869,134976,134447,134386,1829249871,31275675,706.277,12.076,42.24299,-85.012385
13020,43.699711,-83.978701,"Bay City, MI","3,039","3,116","3,157","3,093","3,202","3,233",369,"2,982","2,991","2,976","2,852","2,882","2,869",0.3,-0.5,-4.1,1,-0.4,286,-0.09,-0.26,0.37,-0.24,-0.07,0.33,0.6,0.05,-0.26,-1.01,0.12,-0.02,0.05,107771,107688,107498,107091,106910,106232,105557,104747,1145557660,487987306,442.302,188.413,43.699711,-83.978701
13140,30.347833,-94.120371,"Beaumont-Port Arthur, TX","21,803","23,334","23,734","24,363","24,994","24,875",103,"18,179","18,723","19,399","19,625","20,491","20,735",3,3.6,1.2,4.4,1.2,195,-0.12,0,-0.63,2.28,-0.15,0.02,-0.01,-0.58,-0.17,0.16,-0.04,(D),0.13,403190,403704,405226,403668,405225,405407,408261,409968,7858904931,764353319,3034.34,295.118,30.347833,-94.120371
13220,37.905556,-81.163907,"Beckley, WV","4,667","4,353","4,239","4,242","4,106","4,019",353,"4,365","4,028","3,923","3,885","3,720","3,585",-7.7,-2.6,-1,-4.2,-3.6,365,-1.17,-0.55,-0.31,-0.02,-0.92,0.33,0.1,-0.81,-0.18,-0.13,0.21,-0.01,-0.16,124898,124900,125203,125140,124414,123480,122255,120924,3281350429,27863627,1266.937,10.758,37.905556,-81.163907
13380,48.842653,-121.836432,"Bellingham, WA","9,521","9,610","10,047","9,640","10,049","10,149",198,"8,220","8,068","8,477","8,020","8,398","8,539",-1.9,5.1,-5.4,4.7,1.7,167,0.15,0.21,0.79,0.89,0.1,0.47,0,-1.49,-0.09,0.28,0.04,0.03,0.29,201140,201586,203482,205008,206348,208325,212164,216800,5456492712,1027129526,2106.764,396.577,48.842653,-121.836432
13460,43.915118,-121.225575,"Bend-Redmond, OR","6,064","6,421","6,882","7,588","8,459","9,364",213,"5,964","6,190","6,504","7,003","7,614","8,229",3.8,5.1,7.7,8.7,8.1,2,-0.03,0.81,0.95,0,0.73,0.2,-0.02,2.62,1.76,0.87,-0.02,0.11,0.11,157733,157839,159775,161765,165859,170193,174942,181307,7817045489,94746122,3018.178,36.582,43.915118,-121.225575
13740,45.775453,-108.727871,"Billings, MT","8,531","8,762","8,959","10,058","10,078","10,014",200,"7,677","7,672","7,875","8,760","9,063","9,190",-0.1,2.6,11.2,3.5,1.4,180,-0.83,-0.54,-0.05,2.41,-0.09,-0.15,-0.04,(D),0.32,0.3,0.06,-0.03,0.12,158934,159358,160768,162853,165155,166739,168164,169728,15165554419,78148377,5855.454,30.173,45.775453,-108.727871
